Platform,Certification Title,Certification Code,Certification Slug,Certification link
Google,Google Adwords Fundamentals,adwords-fundamentals,adwords-fundamentals,https://www.examtopics.com/exams/google/adwords-fundamentals/
Google,Google Associate Android Developer,ass-and,associate-android-developer,https://www.examtopics.com/exams/google/associate-android-developer/
Google,Google Associate Cloud Engineer,ass-cde,associate-cloud-engineer,https://www.examtopics.com/exams/google/associate-cloud-engineer/
Google,Google Associate Data Practitioner,ass-data,associate-data-practitioner,https://www.examtopics.com/exams/google/associate-data-practitioner/
Google,Google Associate Google Workspace Administrator,ass-gwa,associate-google-workspace-administrator,https://www.examtopics.com/exams/google/associate-google-workspace-administrator/
Google,Google Cloud Digital Leader,digital-leader,cloud-digital-leader,https://www.examtopics.com/exams/google/cloud-digital-leader/
Google,Google Display Advertising,display-advertising,display-advertising,https://www.examtopics.com/exams/google/display-advertising/
Google,Google Generative Ai Leader,ai-leader,generative-ai-leader,https://www.examtopics.com/exams/google/generative-ai-leader/
Google,Google Google Analytics,google-analytics,google-analytics,https://www.examtopics.com/exams/google/google-analytics/
Google,Google Gsuite,gsuite,gsuite,https://www.examtopics.com/exams/google/gsuite/
Google,Google Individual Qualification,individual-qualification,individual-qualification,https://www.examtopics.com/exams/google/individual-qualification/
Google,Google Mobile Advertising,mobile-advertising,mobile-advertising,https://www.examtopics.com/exams/google/mobile-advertising/
Google,Google Professional Chrome Enterprise Administrator,pro-chrome-enterprise,professional-chrome-enterprise-administrator,https://www.examtopics.com/exams/google/professional-chrome-enterprise-administrator/
Google,Google Professional Chromeos Administrator,pro-chromeos,professional-chromeos-administrator,https://www.examtopics.com/exams/google/professional-chromeos-administrator/
Google,Google Professional Cloud Architect,pro-ca,professional-cloud-architect,https://www.examtopics.com/exams/google/professional-cloud-architect/
Google,Google Professional Cloud Database Engineer,pro-cde,professional-cloud-database-engineer,https://www.examtopics.com/exams/google/professional-cloud-database-engineer/
Google,Google Professional Cloud Developer,pro-cd,professional-cloud-developer,https://www.examtopics.com/exams/google/professional-cloud-developer/
Google,Google Professional Cloud Devops Engineer,pro-cde,professional-cloud-devops-engineer,https://www.examtopics.com/exams/google/professional-cloud-devops-engineer/
Google,Google Professional Cloud Network Engineer,pro-cne,professional-cloud-network-engineer,https://www.examtopics.com/exams/google/professional-cloud-network-engineer/
Google,Google Professional Cloud Security Engineer,pro-cse,professional-cloud-security-engineer,https://www.examtopics.com/exams/google/professional-cloud-security-engineer/
Google,Google Professional Collaboration Engineer,pro-cce,professional-collaboration-engineer,https://www.examtopics.com/exams/google/professional-collaboration-engineer/
Google,Google Professional Data Engineer,pro-de,professional-data-engineer,https://www.examtopics.com/exams/google/professional-data-engineer/
Google,Google Professional Google Workspace Administrator,pro-ad,professional-google-workspace-administrator,https://www.examtopics.com/exams/google/professional-google-workspace-administrator/
Google,Google Professional Machine Learning Engineer,pro-mle,professional-machine-learning-engineer,https://www.examtopics.com/exams/google/professional-machine-learning-engineer/
Google,Google Professional Security Operations Engineer,pro-soe,professional-security-operations-engineer,https://www.examtopics.com/exams/google/professional-security-operations-engineer/
Google,Google Search Advertising,search-advertising,search-advertising,https://www.examtopics.com/exams/google/search-advertising/
Google,Google Shopping Advertising,shopping-advertising,shopping-advertising,https://www.examtopics.com/exams/google/shopping-advertising/
Google,Google Video Advertising,video-advertising,video-advertising,https://www.examtopics.com/exams/google/video-advertising/
