Platform,Certification Title,Certification Code,Certification Slug,Certification link
Microsoft,Microsoft 62-193,62-193,62-193,https://www.examtopics.com/exams/microsoft/62-193/
Microsoft,Microsoft 70-243,70-243,70-243,https://www.examtopics.com/exams/microsoft/70-243/
Microsoft,Microsoft 70-331,70-331,70-331,https://www.examtopics.com/exams/microsoft/70-331/
Microsoft,Microsoft 70-332,70-332,70-332,https://www.examtopics.com/exams/microsoft/70-332/
Microsoft,Microsoft 70-333,70-333,70-333,https://www.examtopics.com/exams/microsoft/70-333/
Microsoft,Microsoft 70-334,70-334,70-334,https://www.examtopics.com/exams/microsoft/70-334/
Microsoft,Microsoft 70-339,70-339,70-339,https://www.examtopics.com/exams/microsoft/70-339/
Microsoft,Microsoft 70-341,70-341,70-341,https://www.examtopics.com/exams/microsoft/70-341/
Microsoft,Microsoft 70-342,70-342,70-342,https://www.examtopics.com/exams/microsoft/70-342/
Microsoft,Microsoft 70-345,70-345,70-345,https://www.examtopics.com/exams/microsoft/70-345/
Microsoft,Microsoft 70-346,70-346,70-346,https://www.examtopics.com/exams/microsoft/70-346/
Microsoft,Microsoft 70-347,70-347,70-347,https://www.examtopics.com/exams/microsoft/70-347/
Microsoft,Microsoft 70-348,70-348,70-348,https://www.examtopics.com/exams/microsoft/70-348/
Microsoft,Microsoft 70-357,70-357,70-357,https://www.examtopics.com/exams/microsoft/70-357/
Microsoft,Microsoft 70-398,70-398,70-398,https://www.examtopics.com/exams/microsoft/70-398/
Microsoft,Microsoft 70-410,70-410,70-410,https://www.examtopics.com/exams/microsoft/70-410/
Microsoft,Microsoft 70-411,70-411,70-411,https://www.examtopics.com/exams/microsoft/70-411/
Microsoft,Microsoft 70-412,70-412,70-412,https://www.examtopics.com/exams/microsoft/70-412/
Microsoft,Microsoft 70-413,70-413,70-413,https://www.examtopics.com/exams/microsoft/70-413/
Microsoft,Microsoft 70-414,70-414,70-414,https://www.examtopics.com/exams/microsoft/70-414/
Microsoft,Microsoft 70-417,70-417,70-417,https://www.examtopics.com/exams/microsoft/70-417/
Microsoft,Microsoft 70-461,70-461,70-461,https://www.examtopics.com/exams/microsoft/70-461/
Microsoft,Microsoft 70-462,70-462,70-462,https://www.examtopics.com/exams/microsoft/70-462/
Microsoft,Microsoft 70-463,70-463,70-463,https://www.examtopics.com/exams/microsoft/70-463/
Microsoft,Microsoft 70-464,70-464,70-464,https://www.examtopics.com/exams/microsoft/70-464/
Microsoft,Microsoft 70-465,70-465,70-465,https://www.examtopics.com/exams/microsoft/70-465/
Microsoft,Microsoft 70-466,70-466,70-466,https://www.examtopics.com/exams/microsoft/70-466/
Microsoft,Microsoft 70-467,70-467,70-467,https://www.examtopics.com/exams/microsoft/70-467/
Microsoft,Microsoft 70-473,70-473,70-473,https://www.examtopics.com/exams/microsoft/70-473/
Microsoft,Microsoft 70-475,70-475,70-475,https://www.examtopics.com/exams/microsoft/70-475/
Microsoft,Microsoft 70-480,70-480,70-480,https://www.examtopics.com/exams/microsoft/70-480/
Microsoft,Microsoft 70-483,70-483,70-483,https://www.examtopics.com/exams/microsoft/70-483/
Microsoft,Microsoft 70-486,70-486,70-486,https://www.examtopics.com/exams/microsoft/70-486/
Microsoft,Microsoft 70-487,70-487,70-487,https://www.examtopics.com/exams/microsoft/70-487/
Microsoft,Microsoft 70-488,70-488,70-488,https://www.examtopics.com/exams/microsoft/70-488/
Microsoft,Microsoft 70-489,70-489,70-489,https://www.examtopics.com/exams/microsoft/70-489/
Microsoft,Microsoft 70-496,70-496,70-496,https://www.examtopics.com/exams/microsoft/70-496/
Microsoft,Microsoft 70-497,70-497,70-497,https://www.examtopics.com/exams/microsoft/70-497/
Microsoft,Microsoft 70-498,70-498,70-498,https://www.examtopics.com/exams/microsoft/70-498/
